,longitude,latitude,depth,county,prefmag,geo_region,well_distance,rup_area,radius,wells_qty
1,-96.91487,36.17085,5,PAYNE,1.8,3,1.003373996,0.01,0.28,0
2,-96.90864,36.16644,5,PAYNE,1.9,9,0.395725515,0.02,0.32,2
3,-97.3374,35.56652,4.613,OKLAHOMA,1.4,9,2.032739769,0.01,0.17,0
4,-97.07871,36.0104,4.262,PAYNE,2,7,2.056523028,0.02,0.33,0
5,-97.07246,36.00521,6.202,PAYNE,1.4,7,2.687308605,0.01,0.2,0
6,-96.88671,36.11442,5,PAYNE,1.8,3,1.429686154,0.01,0.28,0
7,-98.58708,36.71914,5,WOODS,2.1,9,1.026714991,0.03,0.4,1
8,-97.65784,34.82946,9.963,GARVIN,1.7,9,0.905084095,0.01,0.35,0
9,-97.67295,36.64526,5,GRANT,2,9,4.676539798,0.02,0.35,0
10,-97.32875,35.49363,7.225,OKLAHOMA,1.6,9,2.400435917,0.01,0.27,0
11,-97.29896,35.88564,5,LOGAN,1.7,7,9.326814135,0.01,0.25,0
12,-97.07227,35.67473,5,LINCOLN,1.5,3,5.27627722,0.01,0.2,0
13,-97.11677,35.64442,5,LINCOLN,1.6,7,1.746151829,0.01,0.22,0
14,-97.23058,35.91726,5,LOGAN,1.8,7,3.066222915,0.01,0.28,0
15,-97.37335,36.06501,5,LOGAN,1.8,7,2.645674821,0.01,0.28,0
16,-97.39214,35.59049,7.508,OKLAHOMA,2.3,7,6.594829721,0.04,0.61,0
17,-97.72485,36.83272,14.339,GRANT,2.2,7,2.430406154,0.03,0.76,0
18,-97.68496,36.8084,5,GRANT,2,7,2.327128544,0.02,0.35,0
19,-97.31985,36.12298,5,PAYNE,3,7,2.576940932,0.17,1.12,0
20,-97.32234,36.12472,5,PAYNE,1.9,7,2.338636016,0.02,0.32,0
21,-96.48589,35.3586,5,SEMINOLE,2.6,9,1.424178341,0.08,0.71,0
22,-96.89536,36.12741,4.384,PAYNE,3.2,3,2.493684311,0.26,1.32,0
23,-97.31616,36.12429,11.169,PAYNE,2.3,7,2.895933292,0.04,0.75,0
24,-98.36073,36.79841,5,ALFALFA,2.9,9,3.334563508,0.14,1,0
25,-98.3004,36.70467,5,ALFALFA,2.6,9,1.771558175,0.08,0.71,0
26,-97.40806,35.57778,5,OKLAHOMA,2.2,7,4.605227375,0.03,0.45,0
27,-97.40996,35.58513,3.908,OKLAHOMA,2.1,7,5.225118089,0.03,0.35,0
28,-97.32227,36.12448,5,PAYNE,2.7,7,2.346177355,0.09,0.79,0
